iter	Logloss
0	0.679770284
1	0.6671948873
2	0.6557313768
3	0.6449613029
4	0.6352130785
5	0.6260644857
6	0.6180123516
7	0.6101165295
8	0.6027289177
9	0.596447259
10	0.5902109655
11	0.5844238659
12	0.5793960264
13	0.5744209332
14	0.5697934205
15	0.5657851984
16	0.562086246
17	0.5584376101
18	0.5550505779
19	0.5518302808
20	0.5491655025
21	0.5464225578
22	0.5437993273
23	0.5415535165
24	0.5395354308
25	0.5373735618
26	0.535436041
27	0.5336141419
28	0.5318849954
29	0.5303460669
30	0.5288737818
31	0.5276662668
32	0.5265228008
33	0.5253142728
34	0.5241503059
35	0.5231831283
36	0.5221432995
37	0.5211529449
38	0.5202154419
39	0.5193259013
40	0.5184991012
41	0.5177261216
42	0.5170734444
43	0.516509564
44	0.5159679987
45	0.5153464985
46	0.5147726266
47	0.5142853607
48	0.5138346192
49	0.5132457892
50	0.512785765
51	0.5123954796
52	0.5120178615
53	0.5116803921
54	0.5113290598
55	0.510957786
56	0.5105882744
57	0.5102449156
58	0.5099115487
59	0.5096541288
60	0.5093071996
61	0.5090667671
62	0.5088953443
63	0.5086409253
64	0.5083772018
65	0.5080871282
66	0.5078642134
67	0.5076842211
68	0.5074948066
69	0.5072798838
70	0.5070953453
71	0.5070078415
72	0.5067912673
73	0.5066337515
74	0.5064142607
75	0.5062100631
76	0.5060059711
77	0.5058392953
78	0.505646505
79	0.5054673983
80	0.5052854925
81	0.5051491313
82	0.5050372547
83	0.5048893788
84	0.5046928598
85	0.504530755
86	0.5043269745
87	0.5041650858
88	0.5039454271
89	0.503823977
90	0.5036859688
91	0.503463452
92	0.5032879887
93	0.5031007658
94	0.5028788669
95	0.5027552128
96	0.5026310599
97	0.5025413675
98	0.5024190191
99	0.5022656641
100	0.5021431185
101	0.5019449315
102	0.5018317381
103	0.5016947727
104	0.5014929557
105	0.5013109714
106	0.5011648946
107	0.5010416307
108	0.5008727042
109	0.5006977655
110	0.5006016106
111	0.5004376519
112	0.5002896381
113	0.5001526682
114	0.4999979729
115	0.4998952016
116	0.499716576
117	0.4995588045
118	0.4994296014
119	0.4992496409
120	0.4991172145
121	0.4990073632
122	0.4988731415
123	0.4986997715
124	0.4985330903
125	0.4983630567
126	0.4982263037
127	0.4980878135
128	0.4979731136
129	0.4979210516
130	0.4977871362
131	0.4976981268
132	0.497549682
133	0.4973911112
134	0.4972703621
135	0.4971889598
136	0.4970339165
137	0.4968890251
138	0.4967660267
139	0.4966116213
140	0.4964288612
141	0.4962692223
142	0.4961345881
143	0.4960193284
144	0.495922265
145	0.4957756468
146	0.4956796952
147	0.4955205538
148	0.4953867648
149	0.4952545551
150	0.4951691221
151	0.4949943807
152	0.4949088987
153	0.4948051549
154	0.494691388
155	0.4945539316
156	0.4944212377
157	0.4943459049
158	0.494187605
159	0.4940962974
160	0.4939499506
161	0.4938005617
162	0.4935939569
163	0.4935269595
164	0.4934388491
165	0.49323367
166	0.49311005
167	0.4929823325
168	0.4928871652
169	0.4928045041
170	0.4926505492
171	0.4924936128
172	0.4923761827
173	0.492243845
174	0.4921809842
175	0.4920548741
176	0.4919383793
177	0.4918441608
178	0.4917559089
179	0.4916521171
180	0.4915378344
181	0.4914278814
182	0.4913152215
183	0.4912617818
184	0.4911601243
185	0.4909998236
186	0.4908221308
187	0.4906982394
188	0.4905608873
189	0.4904818846
190	0.490419234
191	0.4902791394
192	0.490120013
193	0.4900244084
194	0.4899285322
195	0.4897970193
196	0.489685907
197	0.4895307427
198	0.4894678176
199	0.48930206
200	0.4891486373
201	0.4890893423
202	0.4889234562
203	0.4887631904
204	0.4886015617
205	0.4885241103
206	0.4884307126
207	0.4883170092
208	0.4881771594
209	0.4880829615
210	0.4879408459
211	0.4877733088
212	0.4876028178
213	0.4874867915
214	0.4873747951
215	0.4871783856
216	0.4870703715
217	0.4869473603
218	0.4868021303
219	0.4866870425
220	0.4865351118
221	0.4864131059
222	0.4862759933
223	0.486135088
224	0.4860410888
225	0.4858872316
226	0.4857664926
227	0.4856320975
228	0.4855221899
229	0.485372349
230	0.4852473091
231	0.4851052505
232	0.4850177471
233	0.4849053725
234	0.4847541226
235	0.4846398472
236	0.4845349158
237	0.4844009909
238	0.4842650364
239	0.4841742514
240	0.4840586731
241	0.4838895574
242	0.4837132482
243	0.4836165712
244	0.4835174124
245	0.4833667528
246	0.4832689096
247	0.4831600025
248	0.4829881849
249	0.4828670343
250	0.4827094851
251	0.4826177738
252	0.4825110679
253	0.48238922
254	0.482279864
255	0.4821857623
256	0.482106554
257	0.4819686729
258	0.4818828756
259	0.4817239999
260	0.4815960136
261	0.481485513
262	0.4813733329
263	0.4812330832
264	0.481091715
265	0.4809629338
266	0.4809001912
267	0.4807676784
268	0.4806406116
269	0.4805667737
270	0.4804334403
271	0.4803320945
272	0.480173608
273	0.4800477319
274	0.4798634776
275	0.4797518413
276	0.4796441995
277	0.4795103328
278	0.4793900182
279	0.4792492992
280	0.4791182318
281	0.4790001456
282	0.4788551044
283	0.4787319707
284	0.4785936337
285	0.4784188515
286	0.4782994608
287	0.4782373193
288	0.4780643263
289	0.477892677
290	0.4777584322
291	0.4776221754
292	0.4775036621
293	0.4774155106
294	0.4772731197
295	0.477138415
296	0.4770244049
297	0.4768835547
298	0.4767509846
299	0.4766371407
300	0.4765705755
301	0.476469834
302	0.4763134225
303	0.4761368965
304	0.4760036316
305	0.4758814189
306	0.4757619044
307	0.475538052
308	0.4753763077
309	0.4752742274
310	0.475148156
311	0.4749946178
312	0.4748517224
313	0.4747221857
314	0.4745403508
315	0.4744070198
316	0.4742410908
317	0.4741188715
318	0.4739948245
319	0.4738720147
320	0.4736988764
321	0.4735644415
322	0.4734374691
323	0.4733318211
324	0.4732438445
325	0.4731658159
326	0.4731080643
327	0.4729718777
328	0.472848289
329	0.4727087249
330	0.4726016632
331	0.4724703627
332	0.4723019413
333	0.4721639755
334	0.472003045
335	0.4718347736
336	0.4716402635
337	0.4714859113
338	0.4713709213
339	0.4711856846
340	0.4710351966
341	0.4707925949
342	0.4706064385
343	0.4704343269
344	0.4702839379
345	0.4701499133
346	0.4700405302
347	0.4698968302
348	0.469779833
349	0.4696492303
350	0.4695178507
351	0.4693875363
352	0.4692527665
353	0.469114441
354	0.469045791
355	0.4689028128
356	0.4687091187
357	0.468529004
358	0.4684237116
359	0.4683031746
360	0.4681823065
361	0.4680456469
362	0.4679455188
363	0.4678162086
364	0.4676664113
365	0.4675569634
366	0.4674484221
367	0.4673315329
368	0.4671797169
369	0.4670465709
370	0.4669896531
371	0.4668615338
372	0.4666884594
373	0.4665545498
374	0.4664129967
375	0.4662681498
376	0.4661315985
377	0.4660667501
378	0.4659252541
379	0.4657719864
380	0.465624374
381	0.4655477589
382	0.4653897127
383	0.4652756602
384	0.4651147739
385	0.4649963162
386	0.464867776
387	0.4647062642
388	0.4645642714
389	0.4644630102
390	0.4643397575
391	0.46423986
392	0.4640868355
393	0.4639538509
394	0.4637646867
395	0.4636349608
396	0.4634813224
